Fabricante;Descrição;Preço revenda;revenda c/ IPI
OEM-Y1976E;BRAÇADEIRA / MANGUITO PEDIATRICO REUTILIZAVEL 01 TUBO SOFT CONFORT (14-21 CM);42,38;42,93
OEM-Y1976M;BRAÇADEIRA / MANGUITO PEDIATRICO REUTILIZAVEL 02 TUBOS SOFT CONFORT (14-21 CM);37,50;37,99
PNI06;BRAÇADEIRA ADULTO REUTILIZAVEL SOFT CONFORT SEM BEXIGA;12,62;12,78
SL0008B;MANGUEIRA EXTENSORA PNI DUPLA 2,5 M;67,90;68,78
YA14A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL 5P;149,19;151,13
YA06A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL MINDRAY;144,90;146,78
YA80A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL PHILIPS;119,54;121,09
YA25A06-10;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL PHILIPS MINDRAY PROLIFE;164,69;166,83
YA29A06-08;MANGUEIRA EXTENSORA PNI 01 TUBO COMPATÍVEL SIEMENS DRAGER;211,01;213,76
11996-000033;MANGUEIRA EXTENSORA PNI 01 TUBO LIFEPAK 12;786,67;827,58
YA03A106-10;MANGUEIRA EXTENSORA PNI 01 TUBO NEONATAL COMPATÍVEL MINDRAY;154,45;156,46
YA23A12-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE - A23/A12;128,89;130,56
YA24A109-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE - A24/A109;125,79;127,43
YA40A12-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE - A40/A12;154,06;156,06
YA22A12-12;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL GE DATEX;122,54;124,13
YA28A11-08;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL NIHON KOHDEN;228,75;231,73
YA54A11-10;MANGUEIRA EXTENSORA PNI 02 TUBOS ADT / PDT COMPATÍVEL NIHON KOHDEN;143,53;145,39
YA23A16-08;MANGUEIRA EXTENSORA PNI 02 TUBOS NEONATAL COMPATÍVEL GE;226,01;228,95
YA22A16-08;MANGUEIRA EXTENSORA PNI 02 TUBOS NEONATAL COMPATÍVEL GE DIXTAL;132,82;134,55
SL0008A;MANGUEIRA EXTENSORA PNI SIMPLES 2,5 M;61,24;62,04
11171-000016;CABO EXTENSOR DE OXIMETRIA MASIMO LNC LNCS-10;1.264,52;1.330,28
3201655-018;CABO EXTENSOR DE OXIMETRIA MASIMO LNCS LNC-4;1.037,82;1.091,78
1005;CABO EXTENSOR DE OXIMETRIA MASIMO PC SERIES;620,42;628,49
11171-000037;CABO EXTENSOR DE OXIMETRIA MASIMO RAINBOW RC-4;1.341,94;1.411,72
S0111BC-L;CABO EXTENSOR OXIMETRIA COMPATIVEL BCI REDEL;74,82;75,80
S0568OX-L;CABO EXTENSOR OXIMETRIA COMPATIVEL COMEN OXIMAX;133,49;135,22
SPO204;CABO EXTENSOR OXIMETRIA COMPATIVEL DIXTAL 6 PINOS;92,22;93,42
S0072OX-L;CABO EXTENSOR OXIMETRIA COMPATIVEL DRAGER OXIMAX;90,13;91,30
S0072BC-L;CABO EXTENSOR OXIMETRIA COMPATIVEL DRAGER OXISMART;84,36;85,45
S0025MA-L;CABO EXTENSOR OXIMETRIA COMPATIVEL GE MASIMO LNOP;222,18;225,07
S0025CO-L;CABO EXTENSOR OXIMETRIA COMPATIVEL GE OXISMART;142,51;144,36
S0125CO-L;CABO EXTENSOR OXIMETRIA COMPATIVEL MINDRAY BENEVIEW IMEC IPM BENEHEART;157,45;159,50
S0126OX-L;CABO EXTENSOR OXIMETRIA COMPATIVEL MINDRAY IMEC 10 T5 T8;280,37;284,02
S0013CO-L;CABO EXTENSOR OXIMETRIA COMPATIVEL MINDRAY MASIMO;105,56;106,93
S0040NE-L;CABO EXTENSOR OXIMETRIA COMPATIVEL MINDRAY MEC1000 / PM9000;70,10;71,01
S0001NE-L;CABO EXTENSOR OXIMETRIA COMPATIVEL NELLCOR MC10;106,89;108,28
S0117OX-L;CABO EXTENSOR OXIMETRIA COMPATIVEL NELLCOR OXITECH;90,10;91,27
S0122OX-L;CABO EXTENSOR OXIMETRIA COMPATIVEL NELLCOR OXITECH GE;219,25;222,10
SPO205;CINTA DE SILICONE PARA FIXACAO SENSOR OXIMETRIA Y;68,02;68,91
S0020J-S;SENSOR OXIM DESCART ADT COMPATIVEL MASIMO LNOP ADT;18,10;18,33
S0026J-LP;SENSOR OXIM DESCART ADT COMPATIVEL NELLCOR OXITECH MAX A;31,67;32,08
13122;SENSOR OXIM DESCART ADT MASIMO LNCS ADTX;87,31;91,85
11171-000039;SENSOR OXIM DESCART ADT MASIMO M LNCS ADTX;90,54;95,25
S0442M-LP;SENSOR OXIM DESCART ADT NEO COMPATIVEL MASIMO LNCS;94,08;95,30
13382;SENSOR OXIM DESCART NEONATAL MASIMO LNOP NEO L;73,89;77,73
S0026M-LP;SENSOR OXIM DESCART NEONATAL/ADT COMPATIVEL NELLCOR OXITECH MAX N;59,15;59,92
LNOP-PDT/S0020K-S;SENSOR OXIM DESCART PDT COMPATIVEL MASIMO LNOP PDT;82,49;83,57
13123;SENSOR OXIM DESCART PDT MASIMO LNCS PDTX;99,16;104,32
S0076B-S;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BCI DB9 CABO CURTO;225,46;228,39
S0076B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BCI DB9 CABO LONGO;259,39;262,76
S0111B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BCI REDEL;109,71;111,14
932175154;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BIOLIGHT;315,09;319,19
S0045B-L/S0165B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BIOLIGHT 9 PINOS;184,99;187,40
S0029B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BIOLIGHT REDEL 5 PINOS;182,33;184,70
S0121B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BIONET;215,02;217,82
S0084B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL BIONET REDEL;171,54;173,77
S0007B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL CHOICE;274,37;277,93
S0066B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL COMEN;250,20;253,45
631175684;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL COMEN 12 PINOS;296,07;299,92
S0155B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL CONTEC DIGITAL 5 PINOS;293,98;297,80
S0108B-S;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL CREATIVE DB9 CABO CURTO;356,78;361,42
S0044B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL CRITICARE DB9;281,03;284,68
S0100B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL CRITICARE LEMO;374,70;379,57
S0052B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL DATASCOPE;231,07;234,07
S0036B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL DATEX;137,98;139,77
S0446B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL DIXTAL 7 PINOS;253,09;256,38
S0128B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL GE DATEX OHMEDA;280,84;284,49
S0002B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL GE MARQUETTE NELLCOR;242,75;245,91
S0025B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL GE MASIMO;200,13;202,73
S0122B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL GE OXITECH;205,93;208,60
603112054/S0122B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL GE OXITECH B650 DASH 2500;237,51;240,60
S0108B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL GENERAL MEDITECH GMI;284,89;288,60
S0442B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL MASIM LNCS 3M;363,23;367,95
S0020B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL MASIM MINI D RIBBON;184,69;187,09
S0153B-S;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL MASIMO LNCS DB9;103,23;104,58
S0040B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL MINDRAY REDEL 6 PINOS;210,51;213,24
S0125B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL MINDRAY UMEC;248,87;252,11
S0134B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL MINDRAY VS800 MASIMO;266,23;269,69
S0010B-S;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NELLCOR DB9 CABO CURTO;182,91;185,29
S0010B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NELLCOR DB9 CABO LONGO;139,14;140,95
S0001B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NELLCOR MINI D RIBBON;146,28;148,18
S0026B-S;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NELLCOR OXITECH DB9 CABO CURTO;206,36;209,04
S0026B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NELLCOR OXITECH DB9 CABO LONGO;315,14;319,23
S0117B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NELLCOR OXITECH M RIBBON;260,32;263,71
S0069B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NIHON KOHDEN (047/442);184,73;187,14
S0005B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL NIHON KOHDEN (214/586);329,68;333,97
S0014B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL OHMEDA;296,20;300,06
S0079B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL PALCO;160,33;162,42
S0003B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL PHILIPS 12 PINOS;210,24;212,97
S0015B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL PHILIPS 8 PINOS;236,97;240,05
S0078B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL SIEMENS;263,70;267,13
S0072B-L;SENSOR OXIM REUTIL ADT CLIP COMPATIVEL SIEMENS DRAGER;294,95;298,78
1560;SENSOR OXIM REUTIL ADT CLIP MASIMO LNOP DC 195;544,23;551,30
OMEB0038;SENSOR OXIM REUTIL ADT CLIP TECNOLOGIA 5P OMNIMED;244,90;248,09
OEM-S1530C;SENSOR OXIM REUTIL ADT CLIP TECNOLOGIA 6P;205,39;208,06
SPO212;SENSOR OXIM REUTIL ADT CLIP TECNOLOGIA DIGITAL 07 PINOS OMNIMED;181,23;183,58
11171-000017;SENSOR OXIM REUTIL ADT MASIMO LNCS DCI;1.589,87;1.672,54
S0076D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL BCI DB9 CABO LONGO;239,22;242,33
S0111D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL BCI REDEL;117,02;118,54
S0029D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL BIOLIGHT - REDEL 5 PINOS;134,91;136,67
S0155D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL CONTEC DIGITAL 5 PINOS;156,04;158,07
S0100D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL CRITICARE LEMO;240,50;243,63
S0036D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL DATEX;117,02;118,54
S0062D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL DIXTAL 6 PINOS;99,27;100,56
S0062D-L;/ S0446D-L SENSOR OXIM REUTIL ADT SOFT COMPATIVEL DIXTAL 7 PINOS;228,43;231,40
S0128D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL GE DATEX OHMEDA;201,13;203,75
S0002D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL GE MARQUETTE NELLCOR;140,37;142,19
S0122D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL GE MEDICAL OXITECH;285,29;289,00
S0205D-L/;S0122D-L SENSOR OXIM REUTIL ADT SOFT COMPATIVEL GE OXITECH B650 DASH 2500;246,70;249,91
S0108D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL GENERAL MEDITECH GMI;156,04;158,07
S0442D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL MASIM LNCS 3M;425,16;430,69
S0020D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL MASIM MINI D RIBBON;200,08;202,68
S0040D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL MINDRAY REDEL 6 PINOS;230,81;233,81
S0125D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL MINDRAY UMEC;183,60;185,99
S0010D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL NELLCOR DB9 CABO LONGO;274,87;278,44
S0001D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL NELLCOR MINI D RIBBON;164,56;166,70
S0026D-S;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL NELLCOR OXITECH DB9 CABO CURTO;224,34;227,26
S0117D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL NELLCOR OXITECH M RIBBON;266,16;269,62
S0014D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL OHMEDA;171,02;173,25
S0079D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL PALCO;171,02;173,25
S0003D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL PHILIPS 12 PINOS;117,02;118,54
S0015D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL PHILIPS 8 PINOS;278,04;281,65
S0072D-L;SENSOR OXIM REUTIL ADT SOFT COMPATIVEL SIEMENS DRAGER;205,85;208,52
OEM-S1530B;SENSOR OXIM REUTIL ADT SOFT TECNOLOGIA 6P;215,93;218,74
SPO213;SENSOR OXIM REUTIL ADT SOFT TECNOLOGIA DIGITAL 07 PINOS OMNIMED;261,23;264,63
S0052H-L;SENSOR OXIM REUTIL CLIP DE ORELHA COMPATIVEL DATASCOPE;236,60;239,68
S0117G-L;SENSOR OXIM REUTIL CLIP DE ORELHA COMPATIVEL NELLCOR OXITECH M RIBBON;300,66;304,57
S0111C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL BCI REDEL;238,42;241,52
S0062C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL DIXTAL 6 PINOS;194,83;197,36
S0062C-L;/ S0446C-L SENSOR OXIM REUTIL PDT CLIP COMPATIVEL DIXTAL 7 PINOS;227,32;230,27
S0020C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL MASIM MINI D RIBBON;310,67;314,71
S0125C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL MINDRAY UMEC;296,89;300,75
S0010C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL NELLCOR DB9 CABO LONGO;303,08;307,02
S0001C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL NELLCOR MINI D RIBBON;237,72;240,81
S0117C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL NELLCOR OXITECH M RIBBON;224,82;227,74
S0079C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL PALCO;177,37;179,68
S0003C-L;SENSOR OXIM REUTIL PDT CLIP COMPATIVEL PHILIPS 12 PINOS;149,88;151,83
OMEC0068;SENSOR OXIM REUTIL PDT CLIP TECNOLOGIA 6P;142,37;144,22
SPO216;SENSOR OXIM REUTIL PDT CLIP TECNOLOGIA DIGITAL 07 PINOS OMNIMED;144,00;145,87
11171-000018;SENSOR OXIM REUTIL PDT MASIMO LNCS DCI-P;1.516,42;1.595,28
1276;SENSOR OXIM REUTIL PDT MASIMO LNOP DCIP;1.440,00;1.458,72
S0111E-L;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL BCI REDEL;157,72;159,77
S0062E-L;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL DIXTAL 6 PINOS;157,72;159,77
S0020E-L;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL MASIM MINI D RIBBON;249,80;253,05
S0026E-S;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL NELLCOR OXITECH DB9 CABO CURTO;255,46;258,79
S0117E-L;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL NELLCOR OXITECH M RIBBON;296,04;299,89
S0014E-L;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL OHMEDA;159,87;161,95
S0079P-L;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL PALCO;242,47;245,63
S0003E-L;SENSOR OXIM REUTIL PDT SOFT COMPATIVEL PHILIPS 12 PINOS;242,47;245,63
A-212;SENSOR OXIM REUTIL PDT SOFT TECNOL 6P;215,93;218,74
S0076I-S;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BCI DB9 CABO CURTO;292,34;296,14
S0076F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BCI DB9 CABO LONGO;159,87;161,95
S0076I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BCI DB9 CABO LONGO;163,48;165,60
S0111F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BCI REDEL;157,72;159,77
S0515I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BIOLIGHT;339,89;344,31
S0029F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BIOLIGHT - REDEL 5 PINOS;191,27;193,76
S0045I-L/S0165I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BIOLIGHT 9 PINOS;375,75;380,64
S0084I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL BIONET REDEL;226,51;229,46
S0007I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL CHOICE;317,07;321,19
S0012F-L/S0530F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL COMEN;182,97;185,35
S0066I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL COMEN;139,28;141,09
631195684;SENSOR OXIM REUTIL TIPO Y COMPATIVEL COMEN 12 PINOS;330,46;334,76
S0155I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL CONTEC DIGITAL 5 PINOS;221,23;224,11
S0108F-S;SENSOR OXIM REUTIL TIPO Y COMPATIVEL CREATIVE DB9 CABO CURTO;556,24;563,47
S0044F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL CRITICARE DB9;159,87;161,95
S0100F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL CRITICARE LEMO;340,98;345,41
S0036F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL DATEX;134,14;135,88
S0446I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL DIXTAL 7 PINOS;252,29;255,57
S0128I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL GE DATEX OHMEDA;268,19;271,67
S0002I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL GE MARQUETTE NELLCOR;287,75;291,50
S0122I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL GE OXITECH;188,02;190,46
S0108I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL GENERAL MEDITECH GMI;292,51;296,31
S0020I-L/S0442I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL MASIM LNCS 3M;228,72;231,69
S0020F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL MASIM MINI D RIBBON;249,80;253,05
S0153I-S;SENSOR OXIM REUTIL TIPO Y COMPATIVEL MASIMO LNCS DB9;206,82;209,51
S0040I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL MINDRAY REDEL 6 PINOS;236,65;239,73
S0125F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL MINDRAY UMEC;280,17;283,81
S0134I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL MINDRAY VS800 MASIMO;207,23;209,92
S0010I-S;SENSOR OXIM REUTIL TIPO Y COMPATIVEL NELLCOR DB9 CABO CURTO;271,13;274,65
S0010I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL NELLCOR DB9 CABO LONGO;224,35;227,26
S0001E-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL NELLCOR MINI D RIBBON;153,83;155,83
S0026I-S;SENSOR OXIM REUTIL TIPO Y COMPATIVEL NELLCOR OXITECH DB9 CABO CURTO;283,24;286,92
S0026I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL NELLCOR OXITECH DB9 CABO LONGO;293,84;297,65
S0117I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL NELLCOR OXITECH M RIBBON;256,72;260,06
S0005I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL NIHON KOHDEN;375,99;380,88
S0014F-L;SENSOR OXIM REUTIL TIPO Y COMPATÍVEL OHMEDA - S0014F-L;271,25;274,78
S0014I-L;SENSOR OXIM REUTIL TIPO Y COMPATÍVEL OHMEDA - S0014I-L;239,46;242,57
S0079F-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL PALCO;177,37;179,68
S0003I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL PHILIPS 12 PINOS;205,11;207,78
S0015I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL PHILIPS 8 PINOS;243,47;246,63
S0072I-L;SENSOR OXIM REUTIL TIPO Y COMPATIVEL SIEMENS DRAGER;233,06;236,09
1544;SENSOR OXIM REUTIL TIPO Y MASIMO LNOP YI;1.545,18;1.565,26
OEM-S1530D;SENSOR OXIM REUTIL TIPO Y TECNOLOGIA 6P;195,92;198,47
W0015A;CABO EXTENSOR DE TEMPERATURA COMPATIVEL GE;245,20;248,38
W0001A;SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE;117,90;119,43
W0004A;SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE COMPATIVEL 10K SERIES;95,75;96,99
W0113A;SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE COMPATIVEL BIOLIGHT;157,49;159,53
W0128A;SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE COMPATIVEL COMEN;137,28;139,07
W0015;A SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE COMPATIVEL GE;232,71;235,74
W0013A;SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE COMPATIVEL MINDRAY;202,01;204,64
W0003A;SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE COMPATIVEL PHILIPS;138,96;140,76
W0008A;SENSOR TEMPERATURA REUTILIZAVEL ADULTO DE PELE COMPATIVEL SIEMENS DRAGER;149,33;151,27
W0001B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL;119,61;121,17
W0004B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL COMPATIVEL 10K SERIES;98,38;99,66
W0113B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL COMPATIVEL BIOLIGHT;157,48;159,53
W0128B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL COMPATIVEL COMEN;157,48;159,53
W0005B/W0015B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL COMPATIVEL GE;254,84;258,16
W0013B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL COMPATIVEL MINDRAY;188,54;190,99
W0003B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL COMPATIVEL PHILIPS;148,97;150,91
W0008B;SENSOR TEMPERATURA REUTILIZAVEL ADULTO ESOFAGICO RETAL COMPATIVEL SIEMENS DRAGER;154,37;156,38
W0001C;SENSOR TEMPERATURA REUTILIZAVEL PEDIATRICO DE PELE;51,52;52,19
W0013C;SENSOR TEMPERATURA REUTILIZAVEL PEDIATRICO DE PELE COMPATIVEL MINDRAY;240,23;243,36
W0008C;SENSOR TEMPERATURA REUTILIZAVEL PEDIATRICO DE PELE COMPATIVEL SIEMENS DRAGER;67,49;68,37
W0001D;SENSOR TEMPERATURA REUTILIZAVEL PEDIATRICO ESOF RETAL;125,05;126,67
W0013D;SENSOR TEMPERATURA REUTILIZAVEL PEDIATRICO ESOFAGICO RETAL COMPATIVEL MINDRAY;241,11;244,25
W0008D;SENSOR TEMPERATURA REUTILIZAVEL PEDIATRICO ESOFAGICO RETAL COMPATIVEL SIEMENS DRAGER;77,15;78,15
